2023-12-06,1500,intraday,buy,100,TSLA,atLimit,242.16,buysigcnt,7,
2023-12-07,1045,intraday,buy,100,TSLA,atLimit,238.65,buysigcnt,7,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
2023-12-13,940,12/13/2023,intraday,sell,100,NVDA,atLimit,481.58,sellsigcnt,20,
